,0
feature0,39.0
feature1,6.0
feature2,8.0
feature3,69.0
feature4,210.0
feature5,28.0
feature6,20.0
feature7,3.0
feature8,2.0
feature9,3.0
feature10,29.0
feature11,20.0
feature12,9.0
feature13,48.0
feature14,480.0
feature15,10.0
feature16,3.0
feature17,2.0
feature18,3.0
feature19,4.0
feature20,4.0
feature21,38.0
feature22,200.0
feature23,11.0
feature24,38.0
feature25,2.0
feature26,3.0
feature27,7.0
feature28,3.0
feature29,4.0
feature30,2.0
feature31,3.0
feature32,3.0
feature33,7.0
feature34,18.0
feature35,19.0
feature36,2716.0
feature37,8.0
feature38,15.0
feature39,3.0
feature40,3.0
feature41,19.0
feature42,6.0
feature43,25.0
feature44,2.0
feature45,17.0
feature46,4.0
feature47,8.0
feature48,6.0
feature49,3.0
feature50,16.0
feature51,2.0
feature52,12.0
feature53,6.0
feature54,3.0
feature55,18.0
feature56,4.0
feature57,9.0
feature58,6.0
feature59,37.0
feature60,9.0
feature61,11.0
feature62,3.0
feature63,7.0
feature64,3.0
feature65,183.0
feature66,38.0
feature67,12.0
feature68,564.0
feature69,2.0
feature70,6.0
feature71,10.0
feature72,9.0
feature73,2.0
feature74,47.0
feature75,9.0
feature76,3.0
feature77,11.0
feature78,3.0
feature79,3.0
feature80,2.0
feature81,2.0
feature82,3.0
feature83,3.0
feature84,2.0
feature85,12.0
feature86,11.0
feature87,3.0
feature88,10.0
feature89,45.0
feature90,36.0
feature91,20.0
feature92,11.0
feature93,5.0
feature94,281.0
feature95,10.0
feature96,2.0
feature97,13.0
feature98,2.0
feature99,18.0
feature100,2.0
feature101,4.0
feature102,102.0
feature103,39.0
feature104,4.0
feature105,15.0
feature106,6.0
feature107,3.0
feature108,6.0
feature109,11.0
feature110,69.0
feature111,2.0
feature112,15.0
feature113,12.0
feature114,3.0
feature115,2.0
feature116,3.0
feature117,2.0
feature118,3.0
feature119,5.0
feature120,6.0
feature121,4.0
feature122,1053.0
feature123,4.0
feature124,3.0
feature125,3.0
feature126,3.0
feature127,2.0
feature128,8.0
feature129,2.0
feature130,4.0
feature131,10.0
feature132,2.0
feature133,5.0
feature134,2.0
feature135,3.0
feature136,4.0
feature137,17.0
feature138,14.0
feature139,18.0
feature140,3.0
feature141,4.0
feature142,4.0
feature143,37.0
feature144,2.0
feature145,14.0
feature146,17.0
feature147,4.0
feature148,10.0
feature149,163.0
feature150,6.0
feature151,55.0
feature152,10.0
feature153,2.0
feature154,15.0
feature155,34.0
feature156,7.0
feature157,4.0
feature158,181.0
feature159,98.0
feature160,15.0
feature161,3.0
feature162,3.0
feature163,26.0
feature164,2.0
feature165,10.0
feature166,10.0
feature167,5.0
feature168,3.0
feature169,3.0
feature170,8.0
feature171,38.0
feature172,16.0
feature173,4855.0
feature174,2.0
feature175,4.0
feature176,3.0
feature177,32.0
feature178,3.0
feature179,44.0
feature180,2.0
feature181,23.0
feature182,834.0
feature183,3.0
feature184,6.0
feature185,2.0
feature186,2.0
feature187,4.0
feature188,2.0
feature189,15.0
feature190,3.0
feature191,4.0
feature192,93.0
feature193,3.0
feature194,10.0
feature195,20.0
feature196,277.0
feature197,6.0
feature198,5.0
feature199,69.0
feature200,18.0
feature201,4.0
feature202,12.0
feature203,10.0
feature204,2.0
feature205,15.0
feature206,6.0
feature207,8.0
feature208,5.0
feature209,6.0
feature210,8.0
feature211,2.0
feature212,5.0
feature213,7.0
feature214,9.0
feature215,68.0
feature216,3.0
feature217,3.0
feature218,38.0
feature219,2.0
feature220,462.0
feature221,28.0
feature222,3.0
feature223,41.0
feature224,26.0
feature225,2.0
feature226,5.0
feature227,8.0
feature228,14.0
feature229,15.0
feature230,30.0
feature231,265.0
feature232,6.0
feature233,6.0
feature234,3.0
feature235,3.0
feature236,14.0
feature237,59.0
feature238,2.0
feature239,7.0
feature240,6.0
feature241,5.0
feature242,22.0
feature243,38.0
feature244,6.0
feature245,12.0
feature246,15.0
feature247,3.0
feature248,4.0
feature249,7.0
feature250,5.0
feature251,6.0
feature252,4.0
feature253,13.0
feature254,2.0
feature255,3.0
feature256,4.0
feature257,11.0
feature258,3.0
feature259,2.0
feature260,10.0
feature261,9.0
feature262,17.0
